* Block Type = 384-Well Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 12-21-2016
* Calibration Normalization FAM-ROX is expired = Yes
* Calibration Normalization FAM-ROX performed on = 12-21-2016
* Calibration Normalization VIC-ROX is expired = Yes
* Calibration Normalization VIC-ROX performed on = 12-21-2016
* Calibration Pure Dye FAM is expired = Yes
* Calibration Pure Dye FAM performed on = 12-21-2016
* Calibration Pure Dye NED is expired = Yes
* Calibration Pure Dye NED performed on = 12-21-2016
* Calibration Pure Dye ROX is expired = Yes
* Calibration Pure Dye ROX performed on = 12-21-2016
* Calibration Pure Dye SYBR is expired = Yes
* Calibration Pure Dye SYBR performed on = 12-21-2016
* Calibration Pure Dye TAMRA is expired = Yes
* Calibration Pure Dye TAMRA performed on = 12-21-2016
* Calibration Pure Dye VIC is expired = Yes
* Calibration Pure Dye VIC performed on = 12-21-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 12-21-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 12-21-2016
* Chemistry = SYBR_GREEN
* Date Created = 2018-08-25 21:11:08 PM CST
* Date Modified = 2018-08-28 15:02:18 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = F:\QQ.Data\405385180\FileRecv\生长曲线\2018-08-25 生长曲线.eds
* Experiment Name = 2018-08-25 174758
* Experiment Run Start Time = 2018-08-26 02:06:28 AM CST
* Experiment Run Stop Time = 2018-08-26 03:53:03 AM CST
* Experiment Type = Standard Curve
* Instrument Name = 278861596
* Instrument Serial Number = 278861596
* Instrument Type = QuantStudio(TM) 6 Flex System
* Passive Reference = ROX
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Analysis is performed = Stage 2, Step 2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	Tm1	Tm2	Tm3	MTP	EXPFAIL	HIGHSD	NOAMP	PRFDROP	OUTLIERRG
34	B10	false	Sample 8	EC	UNKNOWN	SYBR	None	15.986	15.939	0.194	14,108,882.000	14,645,787.000	1,954,052.875	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.295			N	N	N	N	N	N
35	B11	false	Sample 8	EC	UNKNOWN	SYBR	None	16.106	15.939	0.194	13,016,312.000	14,645,787.000	1,954,052.875	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.163			N	N	N	N	N	N
36	B12	false	Sample 8	EC	UNKNOWN	SYBR	None	15.726	15.939	0.194	16,812,164.000	14,645,787.000	1,954,052.875	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.426			N	N	N	N	N	N
37	B13	false	Sample 5	PP	UNKNOWN	SYBR	None	16.676	16.773	0.127								true	0.340	true	3	10		84.638			N	N	N	N	N	N
38	B14	false	Sample 5	PP	UNKNOWN	SYBR	None	16.725	16.773	0.127								true	0.340	true	3	11		84.638			N	N	N	N	N	N
39	B15	false	Sample 5	PP	UNKNOWN	SYBR	None	16.917	16.773	0.127								true	0.340	true	3	11		84.375			N	N	N	N	N	N
40	B16	false	Sample 6	PP	UNKNOWN	SYBR	None	29.270	28.756	0.831								true	0.340	true	3	23		74.517	84.506		Y	N	Y	N	N	N
41	B17	false	Sample 6	PP	UNKNOWN	SYBR	None	27.798	28.756	0.831								true	0.340	true	3	21		74.517	84.506		Y	N	Y	N	N	N
42	B18	false	Sample 6	PP	UNKNOWN	SYBR	None	29.201	28.756	0.831								true	0.340	true	3	23		74.649	84.506		Y	N	Y	N	N	N
43	B19	false	Sample 7	PP	UNKNOWN	SYBR	None	16.469	16.448	0.057								true	0.340	true	3	10		84.375			N	N	N	N	N	N
44	B20	false	Sample 7	PP	UNKNOWN	SYBR	None	16.491	16.448	0.057								true	0.340	true	3	10		84.243			N	N	N	N	N	N
45	B21	false	Sample 7	PP	UNKNOWN	SYBR	None	16.383	16.448	0.057								true	0.340	true	3	10		84.243			N	N	N	N	N	N
46	B22	false	Sample 8	PP	UNKNOWN	SYBR	None	26.341	26.322	0.079								true	0.340	true	3	19		84.375	73.728		Y	N	N	N	N	N
47	B23	false	Sample 8	PP	UNKNOWN	SYBR	None	26.389	26.322	0.079								true	0.340	true	3	20		84.243	73.728		Y	N	N	N	N	N
48	B24	false	Sample 8	PP	UNKNOWN	SYBR	None	26.234	26.322	0.079								true	0.340	true	3	20		84.243			N	N	N	N	N	N
49	C1	false	Sample 9	EC	UNKNOWN	SYBR	None	15.461	23.352	13.568	20,108,608.000	12,900,201.000	11,197,606.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.426			N	N	Y	N	N	N
50	C2	false	Sample 9	EC	UNKNOWN	SYBR	None	15.577	23.352	13.568	18,591,994.000	12,900,201.000	11,197,606.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.426			N	N	Y	N	N	N
51	C3	false	Sample 9	EC	UNKNOWN	SYBR	None	39.018	23.352	13.568	2.519	12,900,201.000	11,197,606.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	34		82.666			N	N	Y	N	N	Y
52	C4	false	Sample 10	EC	UNKNOWN	SYBR	None	26.062	26.104	0.681	15,749.718	16,399.568	7,199.386	40.388	0.998	-3.413	96.331	true	0.126	true	3	21		85.295			N	N	Y	N	N	N
53	C5	false	Sample 10	EC	UNKNOWN	SYBR	None	25.444	26.104	0.681	23,901.850	16,399.568	7,199.386	40.388	0.998	-3.413	96.331	true	0.126	true	3	20		85.295			N	N	Y	N	N	N
54	C6	false	Sample 10	EC	UNKNOWN	SYBR	None	26.804	26.104	0.681	9,547.140	16,399.568	7,199.386	40.388	0.998	-3.413	96.331	true	0.126	true	3	22		85.295			N	N	Y	N	N	N
55	C7	false	Sample 11	EC	UNKNOWN	SYBR	None	15.136	15.083	0.073	25,042,770.000	25,972,750.000	1,298,057.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	10		85.295			N	N	N	N	N	N
56	C8	false	Sample 11	EC	UNKNOWN	SYBR	None	14.999	15.083	0.073	27,455,730.000	25,972,750.000	1,298,057.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	10		85.295			N	N	N	N	N	N
57	C9	false	Sample 11	EC	UNKNOWN	SYBR	None	15.113	15.083	0.073	25,419,748.000	25,972,750.000	1,298,057.000	40.388	0.998	-3.413	96.331	true	0.126	true	3	10		85.295			N	N	N	N	N	N
58	C10	false	Sample 12	EC	UNKNOWN	SYBR	None	15.740	15.526	0.186	16,656,075.000	19,342,302.000	2,334,925.500	40.388	0.998	-3.413	96.331	true	0.126	true	3	11		85.163			N	N	N	N	N	N
